Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
45799127,1,2020-10-09,Host,4.0,III Monte Sacro,4.0,2.0,Private room,2,10.0,12,4.33,4.25,3.83,4.58,4.83,4.33,4.42,0.32,Roma,Early Winter,2,private,"41.94482, 12.53652",2024-12-15
9344747,0,2014-04-10,Host,10.0,I Centro Storico,2.0,1.0,Entire home,4,217.0,4,4.75,5.0,5.0,5.0,5.0,5.0,4.5,0.04,Roma,Early Winter,1,private,"41.90107, 12.46611",2024-12-15
7352781,6,2015-07-15,Superhost,3.0,V Prenestino/Centocelle,1.0,1.0,Private room,2,64.0,81,4.85,4.88,4.96,4.95,4.96,4.3,4.82,0.8,Roma,Early Winter,1,private,"41.88297, 12.54334",2024-12-15
40728744,17,2014-11-09,Host,457.0,V Prenestino/Centocelle,3.0,2.0,Entire home,6,57.0,62,4.27,4.5,4.32,4.68,4.68,3.87,4.29,1.33,Roma,Early Winter,2,private,"41.89214, 12.52732",2024-12-15
41001928,57,2019-06-05,Host,11.0,XIII Aurelia,2.0,1.0,Entire home,3,45.0,153,4.54,4.61,4.34,4.61,4.77,4.92,4.56,3.18,Roma,Early Winter,1,private,"41.89908, 12.45577",2024-12-15
29476193,41,2018-10-19,Superhost,1.0,I Centro Storico,3.0,2.0,Entire home,5,179.0,134,4.82,4.88,4.83,4.93,4.98,4.88,4.8,2.16,Roma,Early Winter,1,private,"41.89136, 12.47015",2024-12-15
590254788627321231,3,2020-10-14,Superhost,6.0,I Centro Storico,1.0,1.0,Entire home,2,145.0,4,4.5,4.5,4.75,4.75,4.75,5.0,4.5,0.2,Roma,Early Winter,1,private,"41.888588, 12.471451",2024-12-15
935421052682080973,6,2011-08-22,Host,17.0,I Centro Storico,2.0,1.0,Entire home,2,75.0,6,3.5,3.83,3.83,4.5,4.83,4.67,3.6,1.88,Roma,Early Winter,1,private,"41.90584444501553, 12.505136320035623",2024-12-15
16242291,16,2015-07-23,Superhost,18.0,I Centro Storico,3.0,2.0,Entire home,6,152.0,110,4.69,4.81,4.83,4.96,4.96,4.85,4.61,1.3,Roma,Early Winter,1,private,"41.88155, 12.47534",2024-12-15
1020249504786368132,1,2023-10-20,Host,3.0,I Centro Storico,1.0,1.0,Entire home,2,119.0,1,4.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,Roma,Early Winter,1,private,"41.89856, 12.47648",2024-12-15
43676328,0,2015-03-02,Host,3.0,IX Eur,1.0,1.0,Private room,1,88.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,Roma,Early Winter,1,shared,"41.82469, 12.49102",2024-12-15
846317996358253428,9,2023-03-13,Host,1.0,VII San Giovanni/Cinecittà,1.0,1.0,Entire home,3,95.0,9,4.22,4.22,4.44,4.78,4.44,4.33,4.0,1.05,Roma,Early Winter,1,private,"41.88023167478728, 12.51056605033235",2024-12-15
701170470414050071,17,2022-04-26,Host,5.0,V Prenestino/Centocelle,1.0,1.0,Private room,2,35.0,21,4.57,4.38,4.33,4.62,4.62,4.19,4.14,1.34,Roma,Early Winter,2,shared,"41.8866, 12.54199",2024-12-15
38594124,11,2017-11-30,Superhost,5.0,II Parioli/Nomentano,2.0,1.0,Entire home,6,206.0,19,5.0,5.0,5.0,5.0,5.0,4.79,5.0,0.95,Roma,Early Winter,2,private,"41.92465, 12.46782",2024-12-15
40091456,7,2019-11-12,Host,2.0,V Prenestino/Centocelle,1.0,1.0,Private room,2,64.0,16,4.94,4.94,5.0,5.0,4.88,4.94,4.75,0.33,Roma,Early Winter,1,private,"41.88911, 12.53246",2024-12-15
912803772836110646,17,2017-12-30,Superhost,1.0,I Centro Storico,1.0,1.0,Entire home,2,74.0,17,4.47,4.65,4.12,4.88,4.94,4.94,4.47,3.33,Roma,Early Winter,1,private,"41.90126911748175, 12.472897637975898",2024-12-15
36264236,0,2017-10-31,Host,3.0,XIV Monte Mario,2.0,1.0,Hotel room,3,105.0,4,4.25,4.5,5.0,4.75,4.5,4.5,4.5,0.07,Roma,Early Winter,2,shared,"41.92111206054688, 12.420063018798828",2024-12-15
